bfs_nr,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot
43,2023,23.2,41.1,32,84.0,2.2,380,69317,384000000,0.0,1054.0,91.0,2,5.2,16.7,179.0,Volken,ZH,0,999.0
51,2023,21.9,35.8,331,78.8,6.1,4315,62913,382000000,0.0,29401.0,92.0,22,5.2,24.2,222.0,Bachenbülach,ZH,17,10.1
52,2023,25.2,36.7,934,77.5,3.4,12154,63420,344000000,49.3,34969.0,80.0,42,3.5,19.7,222.0,Bassersdorf,ZH,12,20.6
53,2023,30.2,32.3,1435,60.8,3.1,24122,60282,251000000,31.8,61540.0,82.0,73,3.1,18.3,162.0,Bülach,ZH,11,38.5
54,2023,25.9,34.0,580,73.9,4.6,8029,66234,411000000,64.5,40140.0,85.0,45,5.7,27.3,144.0,Dietlikon,ZH,38,5.7
55,2023,23.3,36.2,459,83.0,5.5,5643,72745,426000000,51.7,20124.0,86.0,17,3.1,38.1,193.0,Eglisau,ZH,8,25.3
56,2023,26.3,35.5,777,77.7,3.7,10286,58334,279000000,23.6,25921.0,83.0,48,4.8,25.5,198.0,Embrach,ZH,7,35.3
57,2023,18.1,40.1,259,108.5,4.6,2367,70300,452000000,0.0,6319.0,88.0,9,3.8,22.6,184.0,Freienstein-Teufen,ZH,2,42.5
58,2023,23.7,38.9,533,101.4,4.6,5413,63008,267000000,6.8,14629.0,94.0,21,4.0,19.9,240.0,Glattfelden,ZH,1,182.0
59,2023,21.2,36.2,198,99.3,3.0,1997,64606,333000000,0.0,4672.0,84.0,7,3.5,15.9,265.0,Hochfelden,ZH,0,999.0
60,2023,31.4,34.1,240,72.8,2.4,3492,56611,233000000,0.0,11252.0,91.0,24,7.3,13.2,208.0,Höri,ZH,3,26.3
61,2023,19.0,39.1,139,127.3,4.2,1108,70739,391000000,0.8,3620.0,94.0,11,10.1,28.6,284.0,Hüntwangen,ZH,0,999.0
62,2023,31.4,35.0,1320,63.1,3.9,21221,55823,249000000,59.5,148195.0,66.0,93,4.4,23.4,157.0,Kloten,ZH,81,12.4
63,2023,26.0,38.8,356,128.8,5.0,2841,77011,377000000,0.0,5500.0,86.0,22,8.0,22.7,259.0,Lufingen,ZH,0,999.0
64,2023,19.9,38.4,611,107.2,3.9,5755,80030,592000000,0.0,12937.0,90.0,19,3.3,24.3,211.0,Nürensdorf,ZH,3,52.7
65,2023,18.9,42.6,138,127.4,2.6,1079,73539,387000000,0.0,2665.0,89.0,11,10.2,23.8,515.0,Oberembrach,ZH,0,999.0
66,2023,35.0,32.6,1170,55.4,4.0,21425,56398,204000000,58.3,77335.0,74.0,66,3.1,21.3,138.0,Opfikon,ZH,42,21.9
67,2023,23.5,36.8,383,82.0,4.7,4757,64551,340000000,27.2,12099.0,84.0,32,6.9,32.4,305.0,Rafz,ZH,2,73.5
68,2023,24.1,38.6,280,96.3,2.8,3003,60911,252000000,3.6,8752.0,91.0,12,4.1,25.9,194.0,Rorbas,ZH,0,999.0
69,2023,30.7,34.0,1169,67.7,4.4,17553,70596,393000000,48.6,102115.0,81.0,65,3.8,21.9,131.0,Wallisellen,ZH,46,16.1
70,2023,19.4,37.8,83,141.4,3.8,577,62581,325000000,0.0,1754.0,88.0,7,11.9,14.3,164.0,Wasterkingen,ZH,0,999.0
71,2023,19.5,37.4,180,115.1,5.8,1576,73476,482000000,0.0,4110.0,91.0,7,4.5,36.7,261.0,Wil,ZH,1,57.0
