Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,electric_car_charging_spot_count,electric_cars_per_charging_spot,Ranking Gesamt [Punkte],bfs_nr,municipality,Rangliste
0.96,1.9600000000000002,3.84,1.3,0.78,9.8,8.4,0.32,15.6,4.9,0.1,0.1,48.06,40,Trüllikon,108.0
0.69,4.62,2.1,2.0500000000000003,0.72,9.8,0.6000000000000001,1.72,16.5,7.2,0.1,0.1,46.20000000000001,41,Truttikon,120.0
1.5899999999999999,4.970000000000001,1.38,0.15000000000000002,2.79,9.8,0.4,1.24,1.65,2.7,0.1,0.1,26.869999999999997,43,Volken,158.0
1.23,1.8200000000000003,0.9299999999999999,1.9000000000000001,1.56,9.8,25.6,1.24,6.45,5.6000000000000005,1.6,9.3,67.03000000000002,51,Bachenbülach,5.0
2.01,2.45,0.84,0.7000000000000001,1.68,4.5,26.6,0.6,3.0,5.6000000000000005,1.3,6.7,55.980000000000004,52,Bassersdorf,57.0
2.52,0.14,0.15,0.6000000000000001,0.96,6.6000000000000005,29.200000000000003,0.44,1.95,1.7000000000000002,1.2000000000000002,3.6,49.06000000000001,53,Bülach,100.0
2.1,0.8400000000000001,0.6599999999999999,1.3,2.16,2.1,27.200000000000003,1.44,9.45,0.7000000000000001,2.4000000000000004,9.9,60.25,54,Dietlikon,28.0
1.6199999999999999,2.1,1.23,1.7000000000000002,3.1799999999999997,4.0,22.200000000000003,0.44,15.299999999999999,3.6,0.9,5.7,61.97,55,Eglisau,19.0
2.2199999999999998,1.61,0.87,0.8500000000000001,0.6599999999999999,7.5,24.0,1.12,7.5,3.9000000000000004,0.8,4.1000000000000005,55.129999999999995,56,Embrach,63.0
0.3,4.48,3.09,1.3,2.94,9.8,10.0,0.72,4.6499999999999995,3.0,0.30000000000000004,3.3000000000000003,43.879999999999995,57,Freienstein-Teufen,126.0
